time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-10 00:00:00+00:00,13,5,0,0
2026-03-11 00:00:00+00:00,30,7,4,2
2026-03-12 00:00:00+00:00,35,7,0,0
2026-03-13 00:00:00+00:00,36,8,0,0
2026-03-14 00:00:00+00:00,30,6,0,0
2026-03-15 00:00:00+00:00,42,10,0,0
2026-03-16 00:00:00+00:00,33,6,0,0
2026-03-17 00:00:00+00:00,30,4,0,0
2026-03-18 00:00:00+00:00,37,9,1,1
2026-03-19 00:00:00+00:00,14,5,0,0
2026-03-20 00:00:00+00:00,13,5,0,0
2026-03-21 00:00:00+00:00,15,6,0,0
2026-03-22 00:00:00+00:00,16,7,0,0
2026-03-23 00:00:00+00:00,16,7,0,0
