time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-03 00:00:00+00:00,4,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-05 00:00:00+00:00,2,2,23,1
2025-10-06 00:00:00+00:00,51,21,235,1
2025-10-07 00:00:00+00:00,16,13,9,1
2025-10-08 00:00:00+00:00,16,8,33,1
2025-10-09 00:00:00+00:00,6,6,0,0
2025-10-10 00:00:00+00:00,5,5,1,1
2025-10-11 00:00:00+00:00,6,6,0,0
2025-10-12 00:00:00+00:00,6,6,0,0
2025-10-13 00:00:00+00:00,5,5,1,1
2025-10-14 00:00:00+00:00,11,5,1,1
2025-10-15 00:00:00+00:00,3,3,2,1
2025-10-16 00:00:00+00:00,4,3,0,0
2025-10-17 00:00:00+00:00,2,2,0,0
2025-10-18 00:00:00+00:00,4,4,0,0
2025-10-19 00:00:00+00:00,8,3,2,2
2025-10-20 00:00:00+00:00,4,4,1,1
2025-10-21 00:00:00+00:00,5,5,0,0
2025-10-22 00:00:00+00:00,4,4,7,4
2025-10-23 00:00:00+00:00,6,4,4,2
2025-10-24 00:00:00+00:00,8,7,4,3
2025-10-25 00:00:00+00:00,15,10,0,0
2025-10-26 00:00:00+00:00,8,8,6,1
2025-10-27 00:00:00+00:00,7,7,4,1
2025-10-28 00:00:00+00:00,4,4,1,1
